datetime,instance,p,q,algorithm,alpha,iterations,blockSize,seed,executionTime,bestSolution,avgSolution,bestAlpha
2026-01-22 11:04:05,instances/exemplo.col,2,1,greedy,N/A,-1,0,1,0.000027,6,6.00,0.000
2026-01-22 11:04:05,instances/exemplo.col,2,1,greedy,N/A,-1,0,2,0.000006,6,6.00,0.000
2026-01-22 11:04:05,instances/exemplo.col,2,1,greedy,N/A,-1,0,3,0.000008,6,6.00,0.000
2026-01-22 11:04:05,instances/exemplo.col,2,1,greedy,N/A,-1,0,4,0.000006,6,6.00,0.000
2026-01-22 11:04:05,instances/exemplo.col,2,1,greedy,N/A,-1,0,5,0.000005,6,6.00,0.000
2026-01-22 11:04:05,instances/exemplo.col,2,1,greedy,N/A,-1,0,6,0.000004,6,6.00,0.000
2026-01-22 11:04:05,instances/exemplo.col,2,1,greedy,N/A,-1,0,7,0.000004,6,6.00,0.000
2026-01-22 11:04:05,instances/exemplo.col,2,1,greedy,N/A,-1,0,8,0.000004,6,6.00,0.000
2026-01-22 11:04:05,instances/exemplo.col,2,1,greedy,N/A,-1,0,9,0.000004,6,6.00,0.000
2026-01-22 11:04:05,instances/exemplo.col,2,1,greedy,N/A,-1,0,10,0.000004,6,6.00,0.000
2026-01-22 11:04:11,instances/exemplo.col,2,1,randomized,0.30,50,0,1,0.000387,6,6.00,0.300
2026-01-22 11:04:11,instances/exemplo.col,2,1,randomized,0.30,50,0,2,0.000426,6,6.00,0.300
2026-01-22 11:04:11,instances/exemplo.col,2,1,randomized,0.30,50,0,3,0.000371,6,6.00,0.300
2026-01-22 11:04:11,instances/exemplo.col,2,1,randomized,0.30,50,0,4,0.000369,6,6.00,0.300
2026-01-22 11:04:11,instances/exemplo.col,2,1,randomized,0.30,50,0,5,0.000427,6,6.00,0.300
2026-01-22 11:04:11,instances/exemplo.col,2,1,randomized,0.30,50,0,6,0.000488,6,6.00,0.300
2026-01-22 11:04:11,instances/exemplo.col,2,1,randomized,0.30,50,0,7,0.000378,6,6.00,0.300
2026-01-22 11:04:11,instances/exemplo.col,2,1,randomized,0.30,50,0,8,0.000373,6,6.00,0.300
2026-01-22 11:04:11,instances/exemplo.col,2,1,randomized,0.30,50,0,9,0.000378,6,6.00,0.300
2026-01-22 11:04:11,instances/exemplo.col,2,1,randomized,0.30,50,0,10,0.000396,6,6.00,0.300
2026-01-22 11:04:17,instances/exemplo.col,2,1,reactive,0.02;0.05;0.10;0.15,50,20,1,0.000371,6,6.00,0.020
2026-01-22 11:04:17,instances/exemplo.col,2,1,reactive,0.02;0.05;0.10;0.15,50,20,2,0.000382,6,6.00,0.020
2026-01-22 11:04:17,instances/exemplo.col,2,1,reactive,0.02;0.05;0.10;0.15,50,20,3,0.000379,6,6.00,0.020
2026-01-22 11:04:17,instances/exemplo.col,2,1,reactive,0.02;0.05;0.10;0.15,50,20,4,0.000431,6,6.00,0.020
2026-01-22 11:04:17,instances/exemplo.col,2,1,reactive,0.02;0.05;0.10;0.15,50,20,5,0.000381,6,6.00,0.020
2026-01-22 11:04:17,instances/exemplo.col,2,1,reactive,0.02;0.05;0.10;0.15,50,20,6,0.000387,6,6.00,0.020
2026-01-22 11:04:17,instances/exemplo.col,2,1,reactive,0.02;0.05;0.10;0.15,50,20,7,0.000388,6,6.00,0.020
2026-01-22 11:04:17,instances/exemplo.col,2,1,reactive,0.02;0.05;0.10;0.15,50,20,8,0.000413,6,6.00,0.020
